state_index,state,ntrap_cm3,nsheet_cm2,trap_charge_density_C_cm3,VGS_V,VDS_V,ID_A,abs_ID_A,converged,error_message
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.0,-7.794321877689331e-20,7.794321877689331e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.01,2.2761411885649315e-09,2.2761411885649315e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.02,4.450577746591139e-09,4.450577746591139e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.03,6.443129031566191e-09,6.443129031566191e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.04,8.206469674214999e-09,8.206469674214999e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.05,9.727096936005302e-09,9.727096936005302e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.06,1.1017844411493626e-08,1.1017844411493626e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.07,1.2107239627265859e-08,1.2107239627265859e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.08,1.3029960206009075e-08,1.3029960206009075e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.09,1.3820277186635891e-08,1.3820277186635891e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.1,1.450851723269e-08,1.450851723269e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.0,2.9129696997313884e-20,2.9129696997313884e-20,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.01,2.312732695206045e-09,2.312732695206045e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.02,4.5218613141253575e-09,4.5218613141253575e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.03,6.545515531832898e-09,6.545515531832898e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.04,8.335519628215872e-09,8.335519628215872e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.05,9.878318179937215e-09,9.878318179937215e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.06,1.1187231847743238e-08,1.1187231847743238e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.07,1.2291522451051678e-08,1.2291522451051678e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.08,1.3226632682541396e-08,1.3226632682541396e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.09,1.4027512199922617e-08,1.4027512199922617e-08,True,
0,State_0_Empty,0.0,0.0,-0.0,3.0,0.1,1.472503799543662e-08,1.472503799543662e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.0,1.770793764412763e-22,1.770793764412763e-22,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.01,1.224939627307724e-20,1.224939627307724e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.02,2.0719331719485857e-20,2.0719331719485857e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.03,2.588111508104643e-20,2.588111508104643e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.04,2.9863759506532443e-20,2.9863759506532443e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.05,3.224397622103761e-20,3.224397622103761e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.06,3.429881899843222e-20,3.429881899843222e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.07,3.565233074317716e-20,3.565233074317716e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.08,3.687981846622477e-20,3.687981846622477e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.09,3.635179368338785e-20,3.635179368338785e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.0,0.1,3.790345483004956e-20,3.790345483004956e-20,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.0,-7.0496242404637e-23,7.0496242404637e-23,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.01,1.6948427058441603e-12,1.6948427058441603e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.02,2.874799132666917e-12,2.874799132666917e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.03,3.699277589361124e-12,3.699277589361124e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.04,4.2785499178182145e-12,4.2785499178182145e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.05,4.688758575130109e-12,4.688758575130109e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.06,4.9824055239368825e-12,4.9824055239368825e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.07,5.195653013084219e-12,5.195653013084219e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.08,5.3533890368855146e-12,5.3533890368855146e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.09,5.472733034174323e-12,5.472733034174323e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,0.5,0.1,5.565457298359726e-12,5.565457298359726e-12,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.0,3.9216744162466405e-22,3.9216744162466405e-22,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.01,1.6331511259066628e-09,1.6331511259066628e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.02,3.1814405942102448e-09,3.1814405942102448e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.03,4.5908028874040746e-09,4.5908028874040746e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.04,5.828887450169519e-09,5.828887450169519e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.05,6.88580242106732e-09,6.88580242106732e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.06,7.769617165031269e-09,7.769617165031269e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.07,8.499616931489891e-09,8.499616931489891e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.08,9.099937307418073e-09,9.099937307418073e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.09,9.594941005794379e-09,9.594941005794379e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.0,0.1,1.0006547000755116e-08,1.0006547000755116e-08,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.0,2.484106744569437e-21,2.484106744569437e-21,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.01,2.0752903240762563e-09,2.0752903240762563e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.02,4.056369254751906e-09,4.056369254751906e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.03,5.871450764398594e-09,5.871450764398594e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.04,7.477621005643482e-09,7.477621005643482e-09,True,
1,State_1,2e+17,100000000000.0,-0.03204353268,1.5,0.05,8.861902873127014e-09,8.861902873127014e-09,True,
