state_index,state,ntrap_cm3,nsheet_cm2,trap_charge_density_C_cm3,VGS_V,VDS_V,ID_A,abs_ID_A,converged,error_message
0,State_0_Empty,0.0,0.0,-0.0,0.3,0.05,5.3913366282465424e-15,5.3913366282465424e-15,True,
0,State_0_Empty,0.0,0.0,-0.0,0.4,0.05,2.15126153706962e-13,2.15126153706962e-13,True,
0,State_0_Empty,0.0,0.0,-0.0,0.5,0.05,8.158150407767752e-12,8.158150407767752e-12,True,
0,State_0_Empty,0.0,0.0,-0.0,0.6,0.05,2.500595655816458e-10,2.500595655816458e-10,True,
0,State_0_Empty,0.0,0.0,-0.0,0.7,0.05,2.354472560461052e-09,2.354472560461052e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,0.8,0.05,4.602198023327582e-09,4.602198023327582e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,0.9,0.05,5.822261612357722e-09,5.822261612357722e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.0,0.05,6.6248551165380295e-09,6.6248551165380295e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.1,0.05,7.214677323668745e-09,7.214677323668745e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.2,0.05,7.670032828708371e-09,7.670032828708371e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.3,0.05,8.029856472720786e-09,8.029856472720786e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.4,0.05,8.317783933195585e-09,8.317783933195585e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.5,0.05,8.55037646390161e-09,8.55037646390161e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.6,0.05,8.740104222316207e-09,8.740104222316207e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.7,0.05,8.896536745186268e-09,8.896536745186268e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.8,0.05,9.02699737952024e-09,9.02699737952024e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,1.9,0.05,9.137058984727452e-09,9.137058984727452e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.0,0.05,9.230954278014271e-09,9.230954278014271e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.1,0.05,9.311906527772166e-09,9.311906527772166e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.2,0.05,9.382385279233893e-09,9.382385279233893e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.3,0.05,9.444298351318303e-09,9.444298351318303e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.4,0.05,9.499133645726469e-09,9.499133645726469e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.5,0.05,9.548063200655929e-09,9.548063200655929e-09,True,
0,State_0_Empty,0.0,0.0,-0.0,2.6,0.05,9.592019538158939e-09,9.592019538158939e-09,True,
